x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.0,1691691040457.6587,549211670292.59265,138862456728.02872,27343638977.28609
1e-06,1725779175270.136,563086874871.8591,143084293737.77603,28316195590.003696
2e-06,1760378150673.0173,577254892246.6844,147419744599.38312,29320411839.585728
3e-06,1795491219351.8198,591720220869.2107,151871371627.4212,30357206120.924862
4e-06,1831121543279.5715,606487381841.9248,156441779265.29572,31427519405.970043
4.9999999999999996e-06,1867272190630.2244,621560917654.3702,161133614300.01837,32532315659.067562
6e-06,1903946132678.0242,636945390877.4277,165949566061.96292,33672582255.26863
7e-06,1941146240684.4292,652645382814.9257,170892366609.03687,34849330401.45535
8e-06,1978875282774.234,668665492112.3191,175964790894.68524,36063595560.12447
9e-06,2017135920802.5596,685010333322.2334,181169656919.14374,37316437875.6657
9.999999999999999e-06,2055930707214.4358,701684535426.6715,186509825863.34802,38608942602.95961
1.1e-05,2095262081898.7456,718692740315.7216,191988202204.90463,39942220538.11593
1.2e-05,2135132369038.3103,736039601222.6295,197607733815.5231,41317408451.162704
1.3e-05,2175543773957.959,753729781115.1161,203371412039.2981,42735669520.49007
1.4e-05,2216498379972.4536,771767951042.863,209282271751.24164,44198193768.844734
1.4999999999999999e-05,2257998145236.1753,790158788441.1104,215343391395.43866,45706198500.661156
1.6e-05,2300044899596.4976,808906975390.3353,221557893002.22208,47260928740.51043
1.7e-05,2342640341452.86,828017196832.0292,227928942183.73398,48863657672.434906
1.8e-05,2385786034623.5024,847494138740.5979,234459748107.2628,50515687079.93398
1.8999999999999998e-05,2429483405221.9297,867342486251.4635,241153563445.7183,52218347786.351685
1.9999999999999998e-05,2473733738545.1826,887566921745.4623,248013684304.6284,53973000095.413475
2.1e-05,2518538175975.992,908172122889.6764,255043450125.02182,55781034231.64667
2.2e-05,2563897711900.961,929162760634.8706,262246243561.57126,57643870780.41304
2.3e-05,2609813190646.943,950543497169.7311,269625490335.36725,59562961127.272606
2.4e-05,2656285303437.776,972318983832.1534,277184659060.6897,61539787896.38589
