requested_current_A_m2,transport_limited_current_A_m2,growth_velocity_m_s
0.0,0.0,0.0
13.019707466795177,13.019707466795177,4.545835843373492e-10
26.039414933590354,26.039414933590354,9.091671686746984e-10
39.05912240038553,39.05912240038553,1.363750753012048e-09
52.07882986718071,52.07882986718071,1.8183343373493969e-09
65.09853733397588,65.09853733397588,2.272917921686746e-09
78.11824480077107,78.11824480077107,2.727501506024096e-09
91.13795226756623,91.13795226756623,3.1820850903614444e-09
104.15765973436142,104.15765973436142,3.6366686746987938e-09
117.1773672011566,117.1773672011566,4.0912522590361436e-09
130.19707466795177,130.19707466795177,4.545835843373492e-09
143.21678213474695,143.21678213474695,5.0004194277108415e-09
156.23648960154213,156.23648960154213,5.455003012048192e-09
169.25619706833731,169.25619706833731,5.90958659638554e-09
182.27590453513247,182.27590453513247,6.364170180722889e-09
195.29561200192765,195.29561200192765,6.818753765060239e-09
208.31531946872283,208.31531946872283,7.2733373493975875e-09
221.33502693551802,221.33502693551802,7.727920933734938e-09
234.3547344023132,234.3547344023132,8.182504518072287e-09
247.37444186910835,247.37444186910835,8.637088102409635e-09
260.39414933590353,260.39414933590353,9.091671686746984e-09
273.4138568026987,273.4138568026987,9.546255271084335e-09
286.4335642694939,286.4335642694939,1.0000838855421683e-08
299.4532717362891,299.4532717362891,1.0455422439759032e-08
312.47297920308426,312.47297920308426,1.0910006024096383e-08
325.49268666987945,325.49268666987945,1.1364589608433731e-08
338.51239413667463,338.51239413667463,1.181917319277108e-08
351.53210160346975,351.53210160346975,1.227375677710843e-08
364.55180907026494,364.55180907026494,1.2728340361445778e-08
377.5715165370601,377.5715165370601,1.3182923945783127e-08
390.5912240038553,390.5912240038553,1.3637507530120478e-08
403.6109314706505,403.6109314706505,1.4092091114457826e-08
416.63063893744567,416.63063893744567,1.4546674698795175e-08
429.65034640424085,429.65034640424085,1.5001258283132524e-08
442.67005387103603,442.67005387103603,1.5455841867469875e-08
455.6897613378312,455.6897613378312,1.5910425451807223e-08
468.7094688046264,468.7094688046264,1.6365009036144574e-08
481.7291762714216,481.7291762714216,1.6819592620481922e-08
494.7488837382167,494.7488837382167,1.727417620481927e-08
507.7685912050119,507.7685912050119,1.772875978915662e-08
520.7882986718071,520.7882986718071,1.818334337349397e-08
533.8080061386023,533.8080061386023,1.8637926957831323e-08
546.8277136053974,546.8277136053974,1.909251054216867e-08
559.8474210721926,559.8474210721926,1.9547094126506015e-08
572.8671285389878,572.8671285389878,2.0001677710843366e-08
585.8868360057829,585.8868360057829,2.0456261295180714e-08
598.9065434725782,598.9065434725782,2.0910844879518065e-08
611.9262509393733,611.9262509393733,2.1365428463855416e-08
624.9459584061685,624.9459584061685,2.1820012048192767e-08
637.9656658729637,637.9656658729637,2.227459563253011e-08
650.9853733397589,650.9853733397589,2.2729179216867462e-08
664.005080806554,664.005080806554,2.318376280120481e-08
677.0247882733493,677.0247882733493,2.363834638554216e-08
690.0444957401444,690.0444957401444,2.4092929969879512e-08
703.0642032069395,703.0642032069395,2.454751355421686e-08
716.0839106737347,716.0839106737347,2.500209713855421e-08
729.1036181405299,729.1036181405299,2.5456680722891555e-08
742.1233256073251,742.1233256073251,2.5911264307228906e-08
755.1430330741202,755.1430330741202,2.6365847891566254e-08
768.1627405409155,768.1627405409155,2.6820431475903608e-08
781.1824480077106,781.1824480077106,2.7275015060240956e-08
794.2021554745058,794.2021554745058,2.7729598644578307e-08
807.221862941301,807.221862941301,2.818418222891565e-08
820.2415704080962,820.2415704080962,2.8638765813253002e-08
833.2612778748913,833.2612778748913,2.909334939759035e-08
846.2809853416865,846.2809853416865,2.95479329819277e-08
859.3006928084817,859.3006928084817,3.000251656626505e-08
872.3204002752768,872.3204002752768,3.0457100150602397e-08
885.3401077420721,885.3401077420721,3.091168373493975e-08
898.3598152088672,898.3598152088672,3.13662673192771e-08
911.3795226756624,911.3795226756624,3.1820850903614446e-08
924.3992301424576,924.3992301424576,3.22754344879518e-08
937.4189376092528,937.4189376092528,3.273001807228915e-08
950.4386450760479,950.4386450760479,3.3184601656626496e-08
963.4583525428432,963.4583525428432,3.3639185240963844e-08
976.4780600096383,976.4780600096383,3.409376882530119e-08
989.4977674764334,989.4977674764334,3.454835240963854e-08
1002.5174749432286,1002.5174749432286,3.5002935993975894e-08
1015.5371824100238,1015.5371824100238,3.545751957831324e-08
1028.556889876819,1028.556889876819,3.591210316265059e-08
1041.5765973436141,1041.5765973436141,3.636668674698794e-08
1054.5963048104093,1054.5963048104093,3.6821270331325285e-08
1067.6160122772046,1067.6160122772046,3.7275853915662646e-08
1080.6357197439997,1080.6357197439997,3.773043749999999e-08
1093.6554272107949,1093.6554272107949,3.818502108433734e-08
1106.67513467759,1106.67513467759,3.863960466867468e-08
1119.6948421443851,1119.6948421443851,3.909418825301203e-08
1132.7145496111805,1132.7145496111805,3.9548771837349384e-08
1145.7342570779756,1145.7342570779756,4.000335542168673e-08
1158.7539645447707,1158.7539645447707,4.045793900602408e-08
1171.7736720115658,1171.7736720115658,4.091252259036143e-08
1184.7933794783612,1184.7933794783612,4.136710617469878e-08
1197.8130869451563,1197.8130869451563,4.182168975903613e-08
1210.8327944119515,1210.8327944119515,4.2276273343373484e-08
1223.8525018787466,1223.8525018787466,4.273085692771083e-08
1236.872209345542,1236.872209345542,4.3185440512048186e-08
1249.891916812337,1249.891916812337,4.3640024096385533e-08
1262.9116242791322,1262.9116242791322,4.409460768072288e-08
1275.9313317459273,1275.9313317459273,4.454919126506022e-08
1288.9510392127224,1288.9510392127224,4.500377484939757e-08
1301.9707466795178,1301.9707466795178,4.5458358433734924e-08
1314.990454146313,1314.990454146313,4.591294201807227e-08
1328.010161613108,1328.010161613108,4.636752560240962e-08
1341.0298690799032,1341.0298690799032,4.682210918674697e-08
1354.0495765466985,1354.0495765466985,4.727669277108432e-08
1367.0692840134936,1367.0692840134936,4.773127635542167e-08
1380.0889914802888,1380.0889914802888,4.8185859939759024e-08
1393.108698947084,1393.108698947084,4.864044352409637e-08
1406.128406413879,1406.128406413879,4.909502710843372e-08
